# t(yr) dt(yr)
2.9445565744433258e-02 9.5872673493535565e-05
2.9541438417926794e-02 9.5872673493535565e-05
2.9689888920097180e-02 1.4845050217038649e-04
2.9718864518632003e-02 2.8975598534822927e-05
2.9733119777504220e-02 1.4255258872216542e-05
2.9747375036376436e-02 1.4255258872216542e-05
2.9753261167703857e-02 5.8861313274212457e-06
2.9759147299031279e-02 5.8861313274212457e-06
2.9768637818711141e-02 9.4905196798625302e-06
2.9778128338391004e-02 9.4905196798625302e-06
2.9825580936790316e-02 4.7452598399312651e-05
3.0062843928786876e-02 2.3726299199655979e-04
3.0243303477416619e-02 1.8045954862974320e-04
3.0423763026046362e-02 1.8045954862974320e-04
3.0631251760419177e-02 2.0748873437281476e-04
3.0838740494791992e-02 2.0748873437281476e-04
3.1095962573144668e-02 2.5722207835267644e-04
3.1118556197949135e-02 2.2593624804466417e-05
3.1125173707465672e-02 6.6175095165370290e-06
3.1131791216982209e-02 6.6175095165370290e-06
3.1136151334486363e-02 4.3601175041541040e-06
3.1137012506224571e-02 8.6117173820829396e-07
3.1137873677962780e-02 8.6117173820829396e-07
3.1138660267537772e-02 7.8658957499214144e-07
3.1142593215412726e-02 3.9329478749537683e-06
3.1162257954787501e-02 1.9664739374775780e-05
3.1260581651661380e-02 9.8323696873878902e-05
3.1752200136030757e-02 4.9161848436937716e-04
3.1773519787794240e-02 2.1319651763482272e-05
3.1794839439557722e-02 2.1319651763482272e-05
3.1818395302065088e-02 2.3555862507365632e-05
3.1837527804695773e-02 1.9132502630685166e-05
3.1933190317849205e-02 9.5662513153432771e-05
3.2411502883616383e-02 4.7831256576717773e-04
3.2802387450870649e-02 3.9088456725426546e-04
3.2956565499075649e-02 1.5417804820500036e-04
3.3029683005362007e-02 7.3117506286357603e-05
3.3049798435738069e-02 2.0115430376062282e-05
3.3056959179594531e-02 7.1607438564616488e-06
3.3064119923450992e-02 7.1607438564616488e-06
3.3071617933877751e-02 7.4980104267582948e-06
3.3109107986011535e-02 3.7490052133784535e-05
3.3296558246680451e-02 1.8745026066891574e-04
3.4233809550025043e-02 9.3725130334459256e-04
3.4951680722882149e-02 7.1787117285710550e-04
3.5669551895739254e-02 7.1787117285710550e-04
3.5794606580687102e-02 1.2505468494784788e-04
3.5919661265634950e-02 1.2505468494784788e-04
3.6047051430247834e-02 1.2739016461288388e-04
3.6684002253312240e-02 6.3695082306440554e-04
3.7316030986397172e-02 6.3202873308493279e-04
3.7456658183620720e-02 1.4062719722354733e-04
3.7501860905103643e-02 4.5202721482923147e-05
3.7547063626586566e-02 4.5202721482923147e-05
3.7593406035091932e-02 4.6342408505366250e-05
3.7668797177133111e-02 7.5391142041178472e-05
3.7744188319174289e-02 7.5391142041178472e-05
3.8121144029380168e-02 3.7695571020587848e-04
3.8212224914295045e-02 9.1080884914877813e-05
3.8237911734630259e-02 2.5686820335213412e-05
3.8251125773697756e-02 1.3214039067496741e-05
3.8257879284147110e-02 6.7535104493546272e-06
3.8264632794596465e-02 6.7535104493546272e-06
3.8271037907046418e-02 6.4051124499531209e-06
3.8303063469296177e-02 3.2025562249758666e-05
3.8463191280544984e-02 1.6012781124880721e-04
3.9263830336789034e-02 8.0063905624404991e-04
3.9607780350120095e-02 3.4395001333106107e-04
3.9683582161833812e-02 7.5801811713717415e-05
3.9759383973547530e-02 7.5801811713717415e-05
3.9780170034999361e-02 2.0786061451831539e-05
3.9800956096451193e-02 2.0786061451831539e-05
3.9820122569510431e-02 1.9166473059238631e-05
3.9915954934806638e-02 9.5832365296207034e-05
4.0395116761287674e-02 4.7916182648103517e-04
4.0831141369265141e-02 4.3602460797746712e-04
4.1231370583884167e-02 4.0022921461902589e-04
4.1352791818514971e-02 1.2142123463080440e-04
4.1399454249528046e-02 4.6662431013075323e-05
4.1446116680541122e-02 4.6662431013075323e-05
4.1489519227675034e-02 4.3402547133912506e-05
4.1706531963344597e-02 2.1701273566956253e-04
4.1929866515755677e-02 2.2333455241108080e-04
4.2153201068166758e-02 2.2333455241108080e-04
4.2288501552058724e-02 1.3530048389196608e-04
4.2313356139597996e-02 2.4854587539271944e-05
4.2314154587874984e-02 7.9844827698821730e-07
4.2314574820767156e-02 4.2023289217180126e-07
4.2314995053659328e-02 4.2023289217180126e-07
4.2315403065383624e-02 4.0801172429549837e-07
4.2317443124005087e-02 2.0400586214636141e-06
4.2327643417112405e-02 1.0200293107318070e-05
4.2378644882649003e-02 5.1001465536597290e-05
4.2633652210331989e-02 2.5500732768298645e-04
4.3120121508563161e-02 4.8646929823117219e-04
4.3187267496029032e-02 6.7145987465870582e-05
4.3254413483494902e-02 6.7145987465870582e-05
4.3309141777743095e-02 5.4728294248192200e-05
4.3582783248984049e-02 2.7364147124095406e-04
4.3981123862151292e-02 3.9834061316724317e-04
4.4379464475318535e-02 3.9834061316724317e-04
4.4416246751344930e-02 3.6782276026395277e-05
4.4422779717504558e-02 6.5329661596280619e-06
4.4429312683664186e-02 6.5329661596280619e-06
4.4434791731189228e-02 5.4790475250421355e-06
4.4462186968814453e-02 2.7395237625224556e-05
4.4599163156940562e-02 1.3697618812610890e-04
4.5284044097571106e-02 6.8488094063054450e-04
4.5357479078783437e-02 7.3434981212330830e-05
4.5381530046586162e-02 2.4050967802724532e-05
4.5395477230088147e-02 1.3947183501984706e-05
4.5409424413590131e-02 1.3947183501984706e-05
4.5422154383348061e-02 1.2729969757929727e-05
4.5485804232137717e-02 6.3649848789655572e-05
4.5565007440236754e-02 7.9203208099037914e-05
4.5616974973976550e-02 5.1967533739795402e-05
4.5668942507716345e-02 5.1967533739795402e-05
4.5713325514826500e-02 4.4383007110154749e-05
4.5935240550377274e-02 2.2191503555077374e-04
4.6005072917798318e-02 6.9832367421043817e-05
4.6037715614977812e-02 3.2642697179494085e-05
4.6043028258230485e-02 5.3126432526737211e-06
4.6048340901483159e-02 5.3126432526737211e-06
4.6053311371751497e-02 4.9704702683381341e-06
4.6078163723093202e-02 2.4852351341704548e-05
4.6202425479801738e-02 1.2426175670853662e-04
4.6309624579770774e-02 1.0719909996903532e-04
4.6416823679739809e-02 1.0719909996903532e-04
4.6505971604380011e-02 8.9147924640202436e-05
4.6572858088390838e-02 6.6886484010826586e-05
4.6623770913450845e-02 5.0912825060006606e-05
4.6674683738510851e-02 5.0912825060006606e-05
4.6700246860347537e-02 2.5563121836685854e-05
4.6709836201739192e-02 9.5893413916553483e-06
4.6719425543130848e-02 9.5893413916553483e-06
4.6722775346585393e-02 3.3498034545456634e-06
4.6726125150039939e-02 3.3498034545456634e-06
4.6729310744803659e-02 3.1855947637202120e-06
4.6745238718622260e-02 1.5927973818601060e-05
4.6824878587715266e-02 7.9639869093005300e-05
4.7223077933180306e-02 3.9819934546504038e-04
4.7390845762643234e-02 1.6776782946292812e-04
4.7415349246807494e-02 2.4503484164259404e-05
4.7427779051913227e-02 1.2429805105733382e-05
4.7440208857018960e-02 1.2429805105733382e-05
4.7450402001900510e-02 1.0193144881549820e-05
4.7501367726308273e-02 5.0965724407762980e-05
4.7756196348347102e-02 2.5482862203882878e-04
4.7989783395523254e-02 2.3358704717615225e-04
4.8109017923040669e-02 1.1923452751741448e-04
4.8143805516174761e-02 3.4787593134091854e-05
4.8159798368283276e-02 1.5992852108515088e-05
4.8168386861733865e-02 8.5884934505897625e-06
4.8176975355184455e-02 8.5884934505897625e-06
4.8185449854061160e-02 8.4744988767052054e-06
4.8227822348444672e-02 4.2372494383512149e-05
4.8439684820362247e-02 2.1186247191757462e-04
4.9498997179950134e-02 1.0593123595878870e-03
4.9569526181070515e-02 7.0529001120381296e-05
4.9574488730544271e-02 4.9625494737554066e-06
4.9579451280018026e-02 4.9625494737554066e-06
4.9584196166204048e-02 4.7448861860213687e-06
4.9607920597134141e-02 2.3724430930092966e-05
4.9726542751784605e-02 1.1862215465046483e-04
5.0319653525036930e-02 5.9311077325232414e-04
5.0906014194946801e-02 5.8636066990987168e-04
5.0944999971690080e-02 3.8985776743279132e-05
5.0959638368283267e-02 1.4638396593186220e-05
5.0974276764876453e-02 1.4638396593186220e-05
5.0979395926796518e-02 5.1191619200655070e-06
5.0984515088716584e-02 5.1191619200655070e-06
5.0989386116423605e-02 4.8710277070207475e-06
5.1013741254958694e-02 2.4355138535089860e-05
5.1135516947634151e-02 1.2177569267545624e-04
5.1230127570511416e-02 9.4610622877265571e-05
5.1249065360515884e-02 1.8937790004468213e-05
5.1254038218565896e-02 4.9728580500119079e-06
5.1256140978952189e-02 2.1027603862924793e-06
5.1258243739338481e-02 2.1027603862924793e-06
5.1261959004967959e-02 3.7152656294781039e-06
5.1265674270597437e-02 3.7152656294781039e-06
5.1284250598744842e-02 1.8576328147404397e-05
5.1310607661248550e-02 2.6357062503708228e-05
5.1320224735628216e-02 9.6170743796655800e-06
5.1329841810007881e-02 9.6170743796655800e-06
5.1340112488712460e-02 1.0270678704578373e-05
5.1391465882235338e-02 5.1353393522877988e-05
5.1648232849849721e-02 2.5676696761438300e-04
5.2041943896544235e-02 3.9371104669451429e-04
5.2435654943238749e-02 3.9371104669451429e-04
5.2562418126972169e-02 1.2676318373341933e-04
5.2580721529036749e-02 1.8303402064580310e-05
5.2599024931101329e-02 1.8303402064580310e-05
5.2614567020762323e-02 1.5542089660994240e-05
5.2692277469067281e-02 7.7710448304957325e-05
5.3080829710592081e-02 3.8855224152480050e-04
5.3437159728838876e-02 3.5633001824679489e-04
5.3793489747085671e-02 3.5633001824679489e-04
5.3929863899152192e-02 1.3637415206652070e-04
5.3964206903944587e-02 3.4343004792394827e-05
5.3998549908736981e-02 3.4343004792394827e-05
