# 2004 Mw6.0 Parkfield earthquake coseismic slip model from
#
#   Bruhat L. S. Barbot and J.-P. Avouac, "Evidence for 
#   postseismic deformation of the lower crust following the 
#   2004 Mw6.0 Parkfield earthquake", J.G.R, 116(B08401), 2011
#
# Conventions and units:
#
# slip - amplitude of slip (m)
# x1   - positive north (km)
# x2   - positive east (km)
# x3   - positive down (km)
# l    - patch length in the strike direction (km)
# w    - patch width in the dip direction (km)
# str  - strike angle (degree)
# d    - dip angle (degree)
# rak  - slip rake (degree)
#
# Geometry:
#
#                 N (x1)
#                /
#               /| Strike
#   x1,x2,x3 ->@------------------------      (x2)
#              |\        p .            \ W
#              :-\      i .              \ i
#              |  \    l .                \ d
#              :90 \  S .                  \ t
#              |-Dip\  .                    \ h
#              :     \. | Rake               \
#              |      -------------------------
#              :             L e n g t h
#              Z (x3)
#              
#  n      slip        x1        x2        x3    length     width   strike      dip     rake
0075     0.002   18300.0  -14800.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0076     0.001   19700.0  -16200.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0077     0.000   21200.0  -17600.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0078     0.000   22600.0  -19000.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0079     0.000   24000.0  -20400.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0080     0.000   25500.0  -21700.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0081     0.153   -1860.0    4630.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0082     0.309    -420.0    3240.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0083     0.354    1020.0    1850.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0084     0.281    2450.0     465.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0085     0.138    3890.0    -924.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0086     0.017    5330.0   -2320.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0087     0.000    6770.0   -3710.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0088     0.000    8210.0   -5090.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0089     0.000    9650.0   -6480.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0090     0.000   11100.0   -7870.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0091     0.000   12500.0   -9260.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0092     0.013   14000.0  -10600.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0093     0.015   15400.0  -12000.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0094     0.000   16800.0  -13400.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0095     0.000   18300.0  -14800.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0096     0.000   19700.0  -16200.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0097     0.000   21200.0  -17600.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0098     0.000   22600.0  -19000.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0099     0.000   24000.0  -20400.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0100     0.000   25500.0  -21700.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0101     0.165   -1860.0    4630.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0102     0.344    -420.0    3240.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0103     0.415    1020.0    1850.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0104     0.358    2450.0     465.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0105     0.203    3890.0    -924.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0106     0.044    5330.0   -2320.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0107     0.000    6770.0   -3710.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0108     0.000    8210.0   -5090.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0109     0.000    9650.0   -6480.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0110     0.000   11100.0   -7870.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0111     0.010   12500.0   -9260.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0112     0.055   14000.0  -10600.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0113     0.050   15400.0  -12000.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0114     0.006   16800.0  -13400.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0115     0.000   18300.0  -14800.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0116     0.000   19700.0  -16200.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0117     0.000   21200.0  -17600.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0118     0.000   22600.0  -19000.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0119     0.000   24000.0  -20400.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0120     0.000   25500.0  -21700.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0121     0.167   -1860.0    4630.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0122     0.356    -420.0    3240.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0123     0.452    1020.0    1850.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0124     0.421    2450.0     465.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0125     0.267    3890.0    -924.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0126     0.075    5330.0   -2320.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0127     0.000    6770.0   -3710.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0128     0.017    8210.0   -5090.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0129     0.041    9650.0   -6480.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0130     0.039   11100.0   -7870.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0131     0.073   12500.0   -9260.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0132     0.141   14000.0  -10600.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0133     0.112   15400.0  -12000.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0134     0.018   16800.0  -13400.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0135     0.000   18300.0  -14800.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0136     0.000   19700.0  -16200.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0137     0.000   21200.0  -17600.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0138     0.000   22600.0  -19000.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0139     0.000   24000.0  -20400.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0140     0.000   25500.0  -21700.0    8000.0    2000.0    1000.0   -44.00    90.00   180.00
0141     0.154   -1860.0    4630.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0142     0.338    -420.0    3240.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0143     0.453    1020.0    1850.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0144     0.455    2450.0     465.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0145     0.317    3890.0    -924.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0146     0.104    5330.0   -2320.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0147     0.017    6770.0   -3710.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0148     0.119    8210.0   -5090.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0149     0.186    9650.0   -6480.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0150     0.165   11100.0   -7870.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0151     0.192   12500.0   -9260.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0152     0.264   14000.0  -10600.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0153     0.195   15400.0  -12000.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0154     0.033   16800.0  -13400.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0155     0.000   18300.0  -14800.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0156     0.000   19700.0  -16200.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0157     0.000   21200.0  -17600.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0158     0.000   22600.0  -19000.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0159     0.000   24000.0  -20400.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0160     0.000   25500.0  -21700.0    7000.0    2000.0    1000.0   -44.00    90.00   180.00
0161     0.121   -1860.0    4630.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0162     0.286    -420.0    3240.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0163     0.411    1020.0    1850.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0164     0.449    2450.0     465.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0165     0.342    3890.0    -924.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0166     0.124    5330.0   -2320.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0167     0.058    6770.0   -3710.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0168     0.285    8210.0   -5090.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0169     0.398    9650.0   -6480.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0170     0.334   11100.0   -7870.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0171     0.331   12500.0   -9260.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0172     0.396   14000.0  -10600.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0173     0.286   15400.0  -12000.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0174     0.046   16800.0  -13400.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
0175     0.000   18300.0  -14800.0    6000.0    2000.0    1000.0   -44.00    90.00   180.00
