> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
  2689225.30   7078252.92
  2682270.05   7099661.39
  2675508.21   7120848.79
  2669578.55   7136090.87
  2664882.54   7152591.00
  2654897.31   7178575.36
  2646819.93   7196726.51
  2637677.47   7214226.98
  2631245.57   7232763.26
  2622451.35   7257390.70
  2618088.26   7275477.60
  2608036.00   7296257.65
  2600282.24   7315152.44
  2592514.05   7334848.67
  2585777.66   7354327.92
  2580522.43   7371905.79
  2584806.69   7378031.27
  2578770.91   7390975.99
  2572956.97   7402452.85
  2565206.74   7417051.58
  2561467.75   7428945.30
  2554708.24   7445828.04
  2558809.97   7449223.80
  2549948.22   7466485.22
  2544385.03   7484607.43
  2538351.21   7505211.65
  2535052.85   7522716.61
  2530215.54   7535159.91
  2529566.48   7545180.27
  2537196.69   7547593.54
  2528940.28   7562899.17
  2528206.70   7567688.60
  2530065.30   7576065.09
  2529919.98   7582320.19
  2526207.64   7589552.99
  2523295.10   7597628.79
  2522353.43   7602207.91
> Pen up flag, same line
  2539947.78   7595007.87
  2537477.03   7602258.29
  2533150.14   7609277.64
  2529378.67   7618587.82
  2526261.05   7626442.54
> Pen up flag, same line
  2542169.06   7613193.29
  2538894.03   7619176.65
  2535389.38   7625786.33
  2532985.48   7630111.00
  2531474.35   7632373.56
> Pen up flag, same line
  2552341.62   7619637.82
  2548163.21   7628113.27
  2544711.93   7633043.08
  2538553.18   7645437.05
  2534820.53   7653055.79
  2528194.65   7659800.24
  2523190.94   7668228.67
  2516649.51   7679744.93
> Pen up flag, same line
  2538679.53   7676047.10
  2533657.55   7684476.40
  2523042.75   7700255.98
  2515399.62   7713179.47
  2508706.92   7721970.21
  2500190.49   7736519.23
  2494670.95   7747398.20
  2488575.66   7757214.16
  2484181.90   7765395.20
>  099    2 BAJA CALIFORNIA, SAN ANDREAS FAULT                                    
 -3337759.31   3816439.35
 -3376821.09   3922502.24
 -3356387.23   3839941.40
 -3338991.80   3764977.49
 -3307414.42   3677778.60
 -3312073.84   3669630.46
> Pen up flag, same line
 -3312073.84   3669630.46
 -3312078.73   3669618.97
 -3311239.76   3666998.05
 -3309967.69   3664628.08
 -3308632.26   3661893.56
 -3307208.96   3658594.84
 -3305289.35   3655183.02
 -3302979.74   3650891.67
 -3301326.18   3647610.45
 -3299418.49   3644413.72
 -3297881.21   3640847.19
 -3295618.86   3637195.20
 -3293554.82   3632804.89
 -3291808.48   3627645.63
 -3290292.37   3622963.63
 -3289131.60   3620024.36
 -3287059.09   3615884.94
 -3285557.75   3612713.32
 -3283176.31   3609570.06
 -3280692.70   3603261.62
 -3278694.02   3599178.26
 -3275843.39   3594263.02
 -3273768.49   3591406.04
 -3271897.85   3588311.98
 -3270253.09   3585191.31
 -3268293.18   3581513.59
 -3265934.59   3576950.41
 -3264852.75   3574293.58
 -3263398.95   3571218.02
 -3261978.07   3567258.17
 -3260273.91   3563990.58
 -3259181.76   3560543.39
 -3258353.00   3556439.80
 -3257279.25   3554008.41
 -3256055.00   3550337.85
 -3255195.54   3546293.29
 -3254017.08   3542497.11
 -3253079.20   3539174.13
 -3251753.07   3534384.92
 -3250946.14   3531264.54
