time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-16T00:16:29.290Z,32.5586,130.574,10,4.3,mwr,,92,0.619,0.79,us,us20005iw0,2016-06-27T23:01:46.040Z,"6km NNW of Yatsushiro, Japan",earthquake,4,1.9,0.086,13,reviewed,us,us
2016-04-15T23:20:42.030Z,32.6489,130.6516,10,4.5,mwr,,86,0.511,0.79,us,us20005iut,2016-06-27T23:01:45.040Z,"1km W of Matsubase, Japan",earthquake,4.5,0.8,0.086,13,reviewed,us,us
2016-04-15T23:08:51.490Z,32.8526,130.7623,10,4.6,mb,,106,0.288,0.8,us,us20005iul,2016-06-27T23:01:45.040Z,"7km NNE of Kumamoto-shi, Japan",earthquake,5.3,1.9,0.102,29,reviewed,us,us
2016-04-15T22:42:33.640Z,32.788,130.6451,10,4.1,mwr,,73,0.388,0.69,us,us20005iug,2016-06-27T23:01:45.040Z,"9km W of Kumamoto-shi, Japan",earthquake,3.8,1.8,0.093,11,reviewed,us,us
2016-04-15T22:23:55.040Z,32.7537,130.7439,10,4.6,mwr,,61,0.386,0.7,us,us20005iu7,2016-06-27T23:01:45.040Z,"4km S of Kumamoto-shi, Japan",earthquake,4.1,1.8,0.08,15,reviewed,us,us
2016-04-15T22:11:40.270Z,33.2528,131.3738,10,5.1,mwr,,47,0.435,0.61,us,us20005iu4,2016-06-27T23:01:45.040Z,"11km WSW of Beppu, Japan",earthquake,4.1,1.8,0.08,15,reviewed,us,us
2016-04-15T21:40:01.520Z,32.9476,130.9111,10,4.5,mwr,,104,0.179,0.82,us,us20005itt,2016-06-27T23:01:44.040Z,"9km NNE of Ozu, Japan",earthquake,3.4,1.8,0.08,15,reviewed,us,us
2016-04-15T21:31:03.890Z,32.8671,131.1369,10.95,4.3,mb,,63,0.337,1,us,us20005kzm,2016-06-27T23:01:44.040Z,"25km E of Ozu, Japan",earthquake,4.7,4.1,0.119,20,reviewed,us,us
2016-04-15T20:34:13.850Z,32.5936,130.5146,10,4.5,mb,,99,0.611,0.87,us,us20005it7,2016-06-27T23:01:43.040Z,"13km NW of Yatsushiro, Japan",earthquake,2.8,1.9,0.098,31,reviewed,us,us
2016-04-15T19:51:24.040Z,32.7106,130.7408,4.05,4.7,mb,,91,0.428,0.76,us,us20005iqi,2016-06-27T23:01:43.040Z,"7km ENE of Uto, Japan",earthquake,2.6,5,0.093,37,reviewed,us,us
2016-04-15T19:24:27.770Z,32.9695,130.9231,13.19,4.6,mb,,81,0.16,1.16,us,us20005kzw,2016-06-27T23:01:42.040Z,"10km E of Kikuchi, Japan",earthquake,5.2,4.5,0.075,53,reviewed,us,us
2016-04-15T19:18:15.750Z,32.9223,130.9738,7.59,4.4,mb,,71,0.218,0.77,us,us20005ipp,2016-06-27T23:01:42.040Z,"11km ENE of Ozu, Japan",earthquake,4.5,2.9,0.13,18,reviewed,us,us
